TF	Description	Literature	Link
NF-X1	The class II major histocompatibility complex (MHC) molecules function in the presentation of processed peptides to helper T cells. As most mammalian cells can endocytose and process foreign antigen, the critical determinant of an antigen-presenting cell is its ability to express class II MHC molecules. Expression of these molecules is usually restricted to cells of the immune system and dysregulated expression is hypothesized to contribute to the pathogenesis of a severe combined immunodeficiency syndrome and certain autoimmune diseases. Human complementary DNA clones encoding a newly identified, cysteine-rich transcription factor, NF-X1, which binds to the conserved X-box motif of class II MHC genes, were obtained, and the primary amino acid sequence deduced. The major open reading frame encodes a polypeptide of 1,104 amino acids with a symmetrical organization. A central cysteine-rich portion encodes the DNA-binding domain, and is subdivided into seven repeated motifs. This motif is similar to but distinct from the LIM domain and the RING finger family, and is reminiscent of known metal-binding regions. The unique arrangement of cysteines indicates that the consensus sequence CX3CXL-XCGX1-5HXCX3CHXGXC represents a novel cysteine-rich motif. Two lines of evidence indicate that the polypeptide encodes a potent and biologically relevant repressor of HLA-DRA transcription: (a) overexpression of NF-X1 from a retroviral construct strongly decreases transcription from the HLA-DRA promoter; and (b) the NF-X1 transcript is markedly induced late after induction with interferon gamma (IFN-gamma), coinciding with postinduction attenuation of HLA-DRA transcription. The NF-X1 protein may therefore play an important role in regulating the duration of an inflammatory response by limiting the period in which class II MHC molecules are induced by IFN-gamma.	Song Z, Krishna S, Thanos D, Strominger JL, Ono SJ (1994) A novel cysteine-rich sequence-specific DNA-binding protein interacts with the conserved X-box motif of the human major histocompatibility complex class II genes via a repeated Cys-His domain and functions as a transcriptional repressor. J Exp Med 180: 1763--74	http://www.ncbi.nlm.nih.gov/pubmed/7964459
S1Fa-like	A cDNA encoding a specific binding activity for the tissue-specific negative cis-element S1F binding site of spinach rps1 was isolated from a spinach cDNA expression library. This cDNA of 0.7 kb encodes an unusual small peptide of only 70 amino acids, with a basic domain which contains a nuclear localization signal and a putative DNA binding helix. This protein, named S1Fa, is highly conserved between dicotyledonous and monocotyledonous plants and may represent a novel class of DNA binding proteins. The corresponding mRNA is accumulated more in roots and in etiolated seedlings than in green leaves. This expression pattern is correlated with the tissue-specific function of the S1F binding site which represses the rps1 promoter preferentially in roots and in etiolated plants.	Zhou DX, Bisanz-Seyer C, Mache R (1995) Molecular cloning of a small DNA binding protein with specificity for a tissue-specific negative element within the rps1 promoter. Nucleic Acids Res 23: 1165--9	http://www.ncbi.nlm.nih.gov/pubmed/7739894
TCP	The TCP transcription factors govern key plant developmental processes and have profound effects on the growth patterns of meristems and organs, partly explained by direct transcriptional control of cell cycle genes. This view is nevertheless incomplete, as accumulated evidence indicates that TCPs also act through other mechanisms, such as the regulation of hormone activity. Several TCP factors not only act as mediators of hormone-induced changes in cell proliferation, but also as modulators, or even key players, of hormone synthesis, transport and signal transduction. This adds another layer of complexity to the role of TCPs in plant development.	Nicolas M, Cubas P (2016) TCP factors: new kids on the signaling block. Curr Opin Plant Biol 33: 33--41	http://www.ncbi.nlm.nih.gov/pubmed/27310029
VOZ	A 38-bp pollen-specific cis-acting region of the AVP1 gene is involved in the expression of the Arabidopsis thaliana V-PPase during pollen development. Here, we report the isolation and structural characterization of AtVOZ1 and AtVOZ2, novel transcription factors that bind to the 38-bp cis-acting region of A. thaliana V-PPase gene, AVP1. AtVOZ1 and AtVOZ2 show 53% amino acid sequence similarity. Homologs of AtVOZ1 and AtVOZ2 are found in various vascular plants as well as a moss, Physcomitrella patens. Promoter-beta-glucuronidase reporter analysis shows that AtVOZ1 is specifically expressed in the phloem tissue and AtVOZ2 is strongly expressed in the root. In vivo transient effector-reporter analysis in A. thaliana suspension-cultured cells demonstrates that AtVOZ1 and AtVOZ2 function as transcriptional activators in the Arabidopsis cell. Two conserved regions termed Domain-A and Domain-B were identified from an alignment of AtVOZ proteins and their homologs of O. sativa and P. patens. AtVOZ2 binds as a dimer to the specific palindromic sequence, GCGTNx7ACGC, with Domain-B, which is comprised of a functional novel zinc coordinating motif and a conserved basic region. Domain-B is shown to function as both the DNA-binding and the dimerization domains of AtVOZ2. From highly the conservative nature among all identified VOZ proteins, we conclude that Domain-B is responsible for the DNA binding and dimerization of all VOZ-family proteins and designate it as the VOZ-domain.	Mitsuda N, Hisabori T, Takeyasu K, Sato MH (2004) VOZ; isolation and characterization of novel vascular plant transcription factors with a one-zinc finger from Arabidopsis thaliana. Plant Cell Physiol 45: 845--54	http://www.ncbi.nlm.nih.gov/pubmed/15295067
AP2/ERF-ERF	Genes in the ERF family encode transcriptional regulators with a variety of functions involved in the developmental and physiological processes in plants. In this study, a comprehensive computational analysis identified 122 and 139 ERF family genes in Arabidopsis (Arabidopsis thaliana) and rice (Oryza sativa L. subsp. japonica), respectively. A complete overview of this gene family in Arabidopsis is presented, including the gene structures, phylogeny, chromosome locations, and conserved motifs. In addition, a comparative analysis between these genes in Arabidopsis and rice was performed. As a result of these analyses, the ERF families in Arabidopsis and rice were divided into 12 and 15 groups, respectively, and several of these groups were further divided into subgroups. Based on the observation that 11 of these groups were present in both Arabidopsis and rice, it was concluded that the major functional diversification within the ERF family predated the monocot/dicot divergence. In contrast, some groups/subgroups are species specific. We discuss the relationship between the structure and function of the ERF family proteins based on these results and published information. It was further concluded that the expansion of the ERF family in plants might have been due to chromosomal/segmental duplication and tandem duplication, as well as more ancient transposition and homing. These results will be useful for future functional analyses of the ERF family genes.	Nakano T, Suzuki K, Fujimura T, Shinshi H (2006) Genome-wide analysis of the ERF gene family in Arabidopsis and rice. Plant Physiol 140: 411--32	http://www.ncbi.nlm.nih.gov/pubmed/16407444
BBR-BPC	INNER NO OUTER (INO) expression is limited to the abaxial cell layer of the incipient and developing outer integument in Arabidopsis ovules. Using deletion analysis of the previously defined INO promoter (P-INO), at least three distinct regions that contribute to the endogenous INO expression pattern were identified. One such positive element, designated POS9, which comprises at least three distinct subelements, was found to include sufficient information to duplicate the INO expression pattern when four or more copies were used in conjunction with a heterologous minimal promoter. While known regulators of INO, including INO, SUPERMAN, BELL1, and AINTEGUMENTA, did not detectably interact with POS9 in yeast one-hybrid assays, two groups of proteins that interact specifically with POS9 were identified in one-hybrid library screens. Members of one group include C2H2 zinc finger motifs. Members of the second group contain a novel, conserved DNA-binding region and were designated the BASIC PENTACYSTEINE (BPC) proteins on the basis of conserved features of this region. The BPC proteins are nuclear localized and specifically bind in vitro to GA dinucleotide repeats located within POS9. The widespread expression patterns of the BPCs and the large number of GA repeat potential target sequences in the Arabidopsis genome indicate that BPC proteins may affect expression of genes involved in a variety of plant processes.	Meister RJ, Williams LA, Monfared MM, Gallagher TL, Kraft EA, Nelson CG, Gasser CS (2004) Definition and interactions of a positive regulatory element of the Arabidopsis INNER NO OUTER promoter. Plant J 37: 426--38	http://www.ncbi.nlm.nih.gov/pubmed/14731261
C2C2-GATA	GATA transcription factors are a group of DNA binding proteins broadly distributed in eukaryotes. The GATA factors DNA binding domain is a class IV zinc finger motif in the form CX(2)CX(17-20)CX(2)C followed by a basic region. In plants, GATA DNA motifs have been implicated in light-dependent and nitrate-dependent control of transcription. Herein, we show that the Arabidopsis and the rice (Oryza sativa) genomes present 29 and 28 loci, respectively, that encode for putative GATA factors. A phylogenetic analysis of the 57 GATA factors encoding genes, as well as the study of their intron-exon structure, indicates the existence of seven subfamilies of GATA genes. Some of these subfamilies are represented in both species but others are exclusive for one of them. In addition to the GATA zinc finger motif, polypeptides of the different subfamilies are characterized by the presence of additional domains such as an acidic domain, a CCT (CONSTANS, CO-like, and TOC1) domain, or a transposase-like domain also found in FAR1 and FHY3. Subfamily VI comprises genes that encode putative bi-zinc finger polypeptides, also found in metazoan and fungi, and a tri-zinc finger protein which has not been previously reported in eukaryotes. The phylogeny of the GATA zinc finger motif, excluding flanking regions, evidenced the existence of four classes of GATA zinc fingers, three of them containing 18 residues in the zinc finger loop and one containing a 20-residue loop. Our results support multiple models of evolution of the GATA gene family in plants including gene duplication and exon shuffling.	Reyes JC, Muro-Pastor MI, Florencio FJ (2004) The GATA family of transcription factors in Arabidopsis and rice. Plant Physiol 134: 1718--32	http://www.ncbi.nlm.nih.gov/pubmed/15084732
C3H	We used virtual subtraction, a new gene isolation strategy, to isolate several genes of interest that are expressed in Arabidopsis embryos. These genes have demonstrated biological properties or have the potential to be involved in important biological processes. One gene isolated by virtual subtraction is PEI. It encodes a protein containing a Cys3His zinc finger domain associated with a number of animal and fungal transcription factors. In situ hybridization results showed that PEI1 is expressed throughout the embryo from globular to late cotyledon stage. Transgenic Arabidopsis plants expressing a PEI1 antisense gene produced white seeds in which embryo development did not progress through heart stage. Aberrant embryos failed to form cotyledons, but the embryonic root appeared to be normal. Aberrant embryos did not turn green, and the expression of genes involved in photomorphogenesis was drastically attenuated. In culture, aberrant embryos did not form true leaves, but root formation was apparently normal. These results suggest that PEI1 is an embryo-specific transcription factor that plays an important role during Arabidopsis embryogenesis, functioning primarily in the apical domain of the embryo.	Li Z, Thomas TL (1998) PEI1, an embryo-specific zinc finger protein gene required for heart-stage embryo formation in Arabidopsis. Plant Cell 10: 383--98	http://www.ncbi.nlm.nih.gov/pubmed/9501112
DBP	We have isolated a single-copy gene from the plant Arabidopsis thaliana, called dbp, which encodes a lysine-rich, DNA-binding protein. The Dbp protein has a molecular weight and a composition resembling histone H1. When the dbp gene was expressed in bacteria, the protein product bound DNA nonspecifically. The dbp gene is expressed constitutively in all parts of the plant but is induced five times above this basal level in apical zones. In vitro hormone-depletion experiments showed that the expression in the shoot apex could be induced by exogenous auxin. In situ hybridizations in the root apex indicated that the expression of dbp is enhanced in the region of cell division.	Alliotte T, Tiré C, Engler G, Peleman J, Caplan A, Van Montagu M, Inzé D (1989) An Auxin-Regulated Gene of Arabidopsis thaliana Encodes a DNA-Binding Protein. Plant Physiol 89: 743--52	http://www.ncbi.nlm.nih.gov/pubmed/16666616
GARP-ARR-B	In the phosphorelay-mediated cytokinin signal transduction of Arabidopsis thaliana, certain members of the type-B authentic response regulator (ARR) family are implicated in the regulatory networks that are primarily propagated by the cytokinin-receptors [authentic histidine kinases (AHKs)]. Clarification of the involvement of each type-B ARR transcription factor in cytokinin-responsive phenomena is still at a very early stage. Here we analyzed the redundant function of two type-B ARR genes, ARR10 and ARR12, by constructing an arr10/arr12 double mutant. The resulting mutant plants showed stronger phenotypes with special reference to the cytokinin action in roots (e.g. inhibition of root elongation, green callus formation from root explants) than those for each single mutant, suggesting that ARR10 and ARR12 redundantly play an important role in the cytokinin signaling in roots. This idea was further supported by results from root-specific microarray analyses with the double mutant plant. We also showed that ARR10 and ARR12 are involved in the AHK-dependent signaling pathway that negatively regulates protoxylem specification in root vascular tissues. When the double mutant is combined with an arr1 allele, the resultant arr1/arr10/arr12 triple mutant showed phenotypes displaying a very poor growth, quite similar to those of the wooden leg (wol) mutant that virtually lacks cytokinin receptor activities in plants. In this triple arr mutant, the specification of root vascular tissues is also affected as severely as in wol. Taken together, we propose that ARR10 and ARR12, together with ARR1, redundantly play pivotal roles in the AHK-dependent phosphorelay signaling in response to cytokinin in roots.	Yokoyama A, Yamashino T, Amano Y-I, Tajima Y, Imamura A, Sakakibara H, Mizuno T (2007) Type-B ARR transcription factors, ARR10 and ARR12, are implicated in cytokinin-mediated regulation of protoxylem differentiation in roots of Arabidopsis thaliana. Plant Cell Physiol 48: 84--96	http://www.ncbi.nlm.nih.gov/pubmed/17132632
HB-BELL	Interactions between TALE (three-amino acid loop extension) homeodomain proteins play important roles in the development of both fungi and animals. Although in plants, two different subclasses of TALE proteins include important developmental regulators, the existence of interactions between plant TALE proteins has remained unexplored. We have used the yeast two-hybrid system to demonstrate that the Arabidopsis BELL1 (BEL1) homeodomain protein can selectively heterodimerize with specific KNAT homeodomain proteins. Interaction is mediated by BEL1 sequences N terminal to the homeodomain and KNAT sequences including the MEINOX domain. These findings validate the hypothesis that the MEINOX domain has been conserved between plants and animals as an interaction domain for developmental regulators. In yeast, BEL1 and KNAT proteins can activate transcription only as a heterodimeric complex, suggesting a role for such complexes in planta. Finally, overlapping patterns of BEL1 and SHOOT MERISTEMLESS (STM) expression within the inflorescence meristem suggest a role for the BEL1-STM complex in maintaining the indeterminacy of the inflorescence meristem.	Bellaoui M, Pidkowich MS, Samach A, Kushalappa K, Kohalmi SE, Modrusan Z, Crosby WL, Haughn GW (2001) The Arabidopsis BELL1 and KNOX TALE homeodomain proteins interact through a domain conserved between plants and animals. Plant Cell 13: 2455--70	http://www.ncbi.nlm.nih.gov/pubmed/11701881
HB-WOX	WOX (Wuschel-like homeobOX) genes form a family of plant-specific HOMEODOMAIN transcription factors, the members of which play important developmental roles in a diverse range of processes. WOX genes were first identified as determining cell fate during embryo development, as well as playing important roles in maintaining stem cell niches in the plant. In recent years, new roles have been identified in plant architecture and organ development, particularly at the flower level.	Costanzo E, Trehin C, Vandenbussche M (2014) The role of WOX genes in flower development. Ann Bot 114: 1545--53	http://www.ncbi.nlm.nih.gov/pubmed/24973416
LIM	First described 15 years ago as a cysteine-rich sequence that was common to a small group of homeodomain transcription factors, the LIM domain is now recognized as a tandem zinc-finger structure that functions as a modular protein-binding interface. LIM domains are present in many proteins that have diverse cellular roles as regulators of gene expression, cytoarchitecture, cell adhesion, cell motility and signal transduction. An emerging theme is that LIM proteins might function as biosensors that mediate communication between the cytosolic and the nuclear compartments.	Kadrmas JL, Beckerle MC (2004) The LIM domain: from the cytoskeleton to the nucleus. Nat Rev Mol Cell Biol 5: 920--31	http://www.ncbi.nlm.nih.gov/pubmed/15520811
NAC	NAC proteins constitute one of the largest families of plant-specific transcription factors, and the family is present in a wide range of land plants. Here, we summarize the biological and molecular functions of the NAC family, paying particular attention to the intricate regulation of NAC protein level and localization, and to the first indications of NAC participation in transcription factor networks. The recent determination of the DNA and protein binding NAC domain structure offers insight into the molecular functions of the protein family. Research into NAC transcription factors has demonstrated the importance of this protein family in the biology of plants and the need for further studies.	Olsen AN, Ernst HA, Leggio L Lo, Skriver K (2005) NAC transcription factors: structurally distinct, functionally diverse. Trends Plant Sci 10: 79--87	http://www.ncbi.nlm.nih.gov/pubmed/15708345
NOZZLE	The ovules of Arabidopsis show polarity along the proximal-distal and the adaxial-abaxial axis. NOZZLE, a gene that encodes a novel protein and BELL1, encoding a homeodomain protein, play a vital role in pattern formation along the proximal-distal axis. INNER NO OUTER, which encodes a member of the YABBY family of transcription factors and SUPERMAN, encoding a zinc finger transcription factor, are essential for the establishment and maintenance of adaxial-abaxial polarity. To date, the co-ordination of patterning along these two axes is unclear. Here we show that NOZZLE plays a vital role in pattern formation along the adaxial-abaxial axis as well. We investigated the expression of INNER NO OUTER in various mutant backgrounds and have identified ABERRANT TESTA SHAPE and NOZZLE as spatial regulators of INNER NO OUTER expression. In addition, we show that NOZZLE and AINTEGUMENTA, which encodes an AP2 domain transcription factor, regulate the temporal expression of INNER NO OUTER and that BELL1 is essential for INNER NO OUTER expression. We further analysed the expression of BELL1 and AINTEGUMENTA in inner no outer mutants and show that the positive auto-regulatory control of INNER NO OUTER expression involves AINTEGUMENTA. Based on our results we propose a model for adaxial-abaxial pattern formation during ovule development. Our results indicate that NOZZLE plays a central role in patterning both the proximal-distal and the adaxial-abaxial axes. Furthermore, negatively regulating INO expression in a temporal manner, ensures that the adaxial-abaxial polarity is established after the specification of the chalaza, a proximal-distal axis pattern element. It therefore serves as a molecular link between these processes during ovule development in Arabidopsis thaliana.	Balasubramanian S, Schneitz K (2002) NOZZLE links proximal-distal and adaxial-abaxial pattern formation during ovule development in Arabidopsis thaliana. Development 129: 4291--300	http://www.ncbi.nlm.nih.gov/pubmed/12183381
